gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TotalServices,ChargePerService,ChargesTenureRatio,TotalChargesExpected,ChargesGap,IsNewCustomer,IsLoyalCustomer,TenureScore,IsMonthToMonth,IsElectronicCheck,NoOnlineSecurity,NoTechSupport,HighRiskProfile,ChurnProbability,ActualChurn,RiskTier
0,1,0,0,9,1,2,1,0,0,2,0,2,0,0,1,2,90.1,816.8,4.0,18.02,9.01,810.9,-5.899999999999977,0,0,1,1,1,1,1,1,0.9643824,0,Critical Risk
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,69.25,69.25,1.0,34.625,34.625,69.25,0.0,1,0,0,1,1,1,1,1,0.96334213,1,Critical Risk
1,0,0,1,1,1,2,1,0,0,0,0,2,2,0,1,2,93.3,93.3,4.0,18.66,46.65,93.3,0.0,1,0,0,1,1,1,1,1,0.96261925,1,Critical Risk
0,1,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.05,85.05,3.0,21.2625,42.525,85.05,0.0,1,0,0,1,1,1,1,1,0.9619157,1,Critical Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.1,69.1,1.0,34.55,34.55,69.1,0.0,1,0,0,1,1,1,1,1,0.96142584,1,Critical Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,69.55,1.0,34.775,34.775,69.55,0.0,1,0,0,1,1,1,1,1,0.96142584,1,Critical Risk
0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,2,78.8,78.8,2.0,26.266666666666666,39.4,78.8,0.0,1,0,0,1,1,1,1,1,0.9606731,1,Critical Risk
1,0,0,0,3,1,2,1,0,0,0,0,0,2,0,1,2,85.3,264.8,3.0,21.325,21.325,255.89999999999998,-8.900000000000034,1,0,0,1,1,1,1,1,0.9603932,1,Critical Risk
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,76.35,76.35,2.0,25.45,38.175,76.35,0.0,1,0,0,1,1,1,1,1,0.96028084,1,Critical Risk
0,0,0,1,2,1,2,1,0,0,0,0,2,2,0,1,0,94.2,193.8,4.0,18.84,31.400000000000002,188.4,-5.400000000000006,1,0,0,1,0,1,1,0,0.95930135,1,Critical Risk
0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,79.35,79.35,2.0,26.45,39.675,79.35,0.0,1,0,0,1,0,1,1,0,0.95687324,1,Critical Risk
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,2,100.75,1129.75,5.0,16.791666666666668,8.395833333333334,1108.25,-21.5,0,0,1,1,1,1,1,1,0.95680577,1,Critical Risk
0,0,0,0,1,1,0,1,0,0,2,0,2,0,0,1,1,85.55,85.55,3.0,21.3875,42.775,85.55,0.0,1,0,0,1,0,1,1,0,0.9566652,1,Critical Risk
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,69.5,69.5,1.0,34.75,34.75,69.5,0.0,1,0,0,1,0,1,1,0,0.95392764,1,Critical Risk
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,68.65,68.65,1.0,34.325,34.325,68.65,0.0,1,0,0,1,1,1,1,1,0.9537786,1,Critical Risk
1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,80.95,171.15,2.0,26.983333333333334,26.983333333333334,161.9,-9.25,1,0,0,1,1,1,1,1,0.952574,1,Critical Risk
1,1,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,77.0,237.75,2.0,25.666666666666668,19.25,231.0,-6.75,1,0,0,1,1,1,1,1,0.9523573,1,Critical Risk
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,4.0,18.880000000000003,9.440000000000001,849.6,-7.649999999999977,0,0,1,1,1,1,1,1,0.94993293,1,Critical Risk
0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,75.7,75.7,2.0,25.233333333333334,37.85,75.7,0.0,1,0,0,1,1,1,1,1,0.94988734,1,Critical Risk
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.5,74.5,2.0,24.833333333333332,37.25,74.5,0.0,1,0,0,1,1,1,1,1,0.94923556,1,Critical Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,69.9,1.0,34.95,34.95,69.9,0.0,1,0,0,1,1,1,1,1,0.9490376,0,Critical Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,69.9,1.0,34.95,34.95,69.9,0.0,1,0,0,1,1,1,1,1,0.9490376,1,Critical Risk
1,1,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,94.85,335.75,4.0,18.97,23.7125,284.54999999999995,-51.200000000000045,1,0,0,1,1,1,1,1,0.94852984,0,Critical Risk
1,0,0,0,3,1,2,1,0,2,2,0,2,2,0,1,0,105.35,323.25,6.0,15.049999999999999,26.3375,316.04999999999995,-7.2000000000000455,1,0,0,1,0,1,1,0,0.9480881,1,Critical Risk
1,0,0,0,5,1,2,1,0,2,2,0,0,0,0,1,2,85.3,424.15,4.0,17.06,14.216666666666667,426.5,2.3500000000000227,1,0,0,1,1,1,1,1,0.94671226,1,Critical Risk
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,88.35,88.35,3.0,22.0875,44.175,88.35,0.0,1,0,0,1,1,1,1,1,0.9466802,1,Critical Risk
0,1,0,0,4,1,2,1,0,0,0,0,0,2,0,1,2,84.6,360.1,3.0,21.15,16.919999999999998,338.4,-21.700000000000045,1,0,0,1,1,1,1,1,0.9458221,1,Critical Risk
0,0,0,0,2,1,2,1,0,0,0,0,0,2,0,1,2,85.7,169.8,3.0,21.425,28.566666666666666,171.4,1.5999999999999943,1,0,0,1,1,1,1,1,0.944063,1,Critical Risk
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,89.55,3.0,22.3875,44.775,89.55,0.0,1,0,0,1,1,1,1,1,0.943917,1,Critical Risk
1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,90.85,4.0,18.169999999999998,45.425,90.85,0.0,1,0,0,1,0,1,1,0,0.9434872,1,Critical Risk
0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,1,2,75.8,160.75,2.0,25.266666666666666,25.266666666666666,151.6,-9.150000000000006,1,0,0,1,1,1,1,1,0.9432748,1,Critical Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.35,70.35,1.0,35.175,35.175,70.35,0.0,1,0,0,1,1,1,1,1,0.94215447,0,Critical Risk
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,132.2,2.0,13.716666666666667,10.2875,123.44999999999999,-8.75,1,0,0,1,1,1,1,1,0.9419229,1,Critical Risk
1,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,79.95,174.45,2.0,26.650000000000002,26.650000000000002,159.9,-14.549999999999983,1,0,0,1,1,1,1,1,0.9418018,0,Critical Risk
0,1,0,0,4,1,0,1,0,2,2,0,2,2,0,1,1,99.8,442.85,5.0,16.633333333333333,19.96,399.2,-43.650000000000034,1,0,0,1,0,1,1,0,0.9408128,1,Critical Risk
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,25.2,25.2,0.0,25.2,12.6,25.2,0.0,1,0,0,1,1,1,1,1,0.9401359,1,Critical Risk
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.5,80.5,2.0,26.833333333333332,40.25,80.5,0.0,1,0,0,1,1,1,1,1,0.9397948,1,Critical Risk
1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,1,2,74.5,74.5,2.0,24.833333333333332,37.25,74.5,0.0,1,0,0,1,1,1,1,1,0.9395616,1,Critical Risk
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,70.0,70.0,1.0,35.0,35.0,70.0,0.0,1,0,0,1,1,1,1,1,0.9381774,1,Critical Risk
0,0,1,1,1,1,2,1,2,0,2,0,2,2,0,1,2,102.45,102.45,6.0,14.635714285714286,51.225,102.45,0.0,1,0,0,1,1,0,1,0,0.9374536,1,Critical Risk
1,1,1,0,6,1,0,1,0,0,2,0,2,2,0,1,2,95.75,573.75,4.0,19.15,13.678571428571429,574.5,0.75,1,0,0,1,1,1,1,1,0.93689275,1,Critical Risk
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.25,70.25,1.0,35.125,35.125,70.25,0.0,1,0,0,1,1,1,1,1,0.9358107,1,Critical Risk
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.25,70.25,1.0,35.125,35.125,70.25,0.0,1,0,0,1,1,1,1,1,0.9358107,0,Critical Risk
0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,1,3,80.05,80.05,2.0,26.683333333333334,40.025,80.05,0.0,1,0,0,1,0,1,1,0,0.93520653,1,Critical Risk
1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.65,71.65,1.0,35.825,35.825,71.65,0.0,1,0,0,1,1,1,1,1,0.9349923,1,Critical Risk
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.55,35.55,1.0,17.775,17.775,35.55,0.0,1,0,0,1,1,1,1,1,0.9344282,1,Critical Risk
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,74.25,74.25,2.0,24.75,37.125,74.25,0.0,1,0,0,1,0,1,1,0,0.9336554,1,Critical Risk
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,71.35,71.35,1.0,35.675,35.675,71.35,0.0,1,0,0,1,1,1,1,1,0.9332127,1,Critical Risk
0,1,1,0,1,1,0,1,0,2,0,0,0,0,0,1,3,76.4,76.4,2.0,25.46666666666667,38.2,76.4,0.0,1,0,0,1,0,1,1,0,0.93280864,1,Critical Risk
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.05,25.05,0.0,25.05,12.525,25.05,0.0,1,0,0,1,1,1,1,1,0.9313469,1,Critical Risk
0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,1,2,75.65,302.35,2.0,25.21666666666667,15.13,302.6,0.25,1,0,0,1,1,1,1,1,0.93126076,0,Critical Risk
1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,80.0,2.0,26.666666666666668,40.0,80.0,0.0,1,0,0,1,1,1,1,1,0.9312371,1,Critical Risk
0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,1,2,35.1,68.75,1.0,17.55,11.700000000000001,70.2,1.4500000000000028,1,0,0,1,1,1,1,1,0.9294883,1,Critical Risk
0,0,1,0,8,1,2,1,0,0,0,2,0,2,0,1,2,90.25,743.75,4.0,18.05,10.027777777777779,722.0,-21.75,0,0,1,1,1,1,0,1,0.92722005,0,Critical Risk
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,75.3,75.3,2.0,25.099999999999998,37.65,75.3,0.0,1,0,0,1,1,1,1,1,0.9268686,1,Critical Risk
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.6,70.6,1.0,35.3,35.3,70.6,0.0,1,0,0,1,1,1,1,1,0.92639905,1,Critical Risk
0,0,0,0,8,1,2,1,0,0,0,0,2,0,0,1,2,87.05,762.1,3.0,21.7625,9.672222222222222,696.4,-65.70000000000005,0,0,1,1,1,1,1,1,0.9244618,1,Critical Risk
0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,346.2,4.0,17.84,17.84,356.8,10.600000000000023,1,0,0,1,1,1,1,1,0.9237246,1,Critical Risk
0,1,0,0,2,1,0,1,0,0,0,0,2,0,0,0,3,81.5,162.55,2.0,27.166666666666668,27.166666666666668,163.0,0.44999999999998863,1,0,0,1,0,1,1,0,0.9226862,0,Critical Risk
0,1,0,0,8,1,2,1,0,0,0,0,0,2,0,0,2,85.2,695.75,3.0,21.3,9.466666666666667,681.6,-14.149999999999977,0,0,1,1,1,1,1,1,0.92202324,0,Critical Risk
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,71.1,71.1,1.0,35.55,35.55,71.1,0.0,1,0,0,1,0,1,1,0,0.9206389,0,Critical Risk
0,0,0,1,4,1,2,1,0,2,0,0,2,0,0,0,3,89.6,365.65,4.0,17.919999999999998,17.919999999999998,358.4,-7.25,1,0,0,1,0,1,1,0,0.917622,1,Critical Risk
0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,2,35.0,35.0,1.0,17.5,17.5,35.0,0.0,1,0,0,1,1,1,1,1,0.91688216,0,Critical Risk
0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,1,2,75.85,256.6,2.0,25.28333333333333,18.9625,227.54999999999998,-29.05000000000004,1,0,0,1,1,1,1,1,0.9158647,1,Critical Risk
1,1,1,0,7,1,2,1,0,0,0,0,0,0,0,1,2,75.4,533.05,2.0,25.133333333333336,9.425,527.8000000000001,-5.249999999999886,0,0,1,1,1,1,1,1,0.9155362,0,Critical Risk
0,1,0,0,2,1,2,0,0,2,0,0,0,0,0,1,1,56.55,118.25,3.0,14.1375,18.849999999999998,113.1,-5.150000000000006,1,0,0,1,0,1,1,0,0.91306466,0,Critical Risk
0,0,0,0,5,1,2,1,0,0,2,2,0,0,0,1,2,82.75,417.75,4.0,16.55,13.791666666666666,413.75,-4.0,1,0,0,1,1,1,0,1,0.9127306,0,Critical Risk
0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.0,71.0,1.0,35.5,35.5,71.0,0.0,1,0,0,1,1,1,1,1,0.911478,1,Critical Risk
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.9,69.9,1.0,34.95,34.95,69.9,0.0,1,0,0,1,0,1,1,0,0.91033554,1,Critical Risk
1,0,0,0,4,0,1,0,0,0,0,0,2,2,0,1,2,44.55,174.3,2.0,14.85,8.91,178.2,3.8999999999999773,1,0,0,1,1,1,1,1,0.90664965,1,Critical Risk
0,0,1,0,6,1,2,1,0,2,0,0,0,2,0,1,2,90.75,512.25,4.0,18.15,12.964285714285714,544.5,32.25,1,0,0,1,1,1,1,1,0.90373486,0,Critical Risk
1,1,1,0,7,1,2,1,0,0,0,0,0,0,0,1,3,74.4,527.9,2.0,24.8,9.3,520.8000000000001,-7.099999999999909,0,0,1,1,0,1,1,0,0.9024086,1,Critical Risk
1,1,0,0,14,1,2,1,0,0,0,0,0,0,0,1,2,74.95,1036.75,2.0,24.983333333333334,4.996666666666667,1049.3,12.549999999999955,0,0,2,1,1,1,1,1,0.9007422,1,Critical Risk
0,0,1,1,3,1,0,1,0,0,0,0,2,0,0,1,2,80.7,239.45,2.0,26.900000000000002,20.175,242.10000000000002,2.650000000000034,1,0,0,1,1,1,1,1,0.89966667,0,Critical Risk
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,25.05,25.05,0.0,25.05,12.525,25.05,0.0,1,0,0,1,0,1,1,0,0.8994761,1,Critical Risk
0,0,0,0,3,1,0,1,0,2,0,0,2,2,0,0,2,95.4,293.15,4.0,19.080000000000002,23.85,286.20000000000005,-6.949999999999932,1,0,0,1,1,1,1,1,0.89938897,0,Critical Risk
0,0,0,0,4,1,2,1,0,2,0,0,0,0,0,1,3,80.3,324.2,3.0,20.075,16.06,321.2,-3.0,1,0,0,1,0,1,1,0,0.89830595,0,Critical Risk
1,1,1,0,7,1,0,1,0,0,0,0,2,2,0,1,2,89.0,605.45,3.0,22.25,11.125,623.0,17.549999999999955,0,0,1,1,1,1,1,1,0.89819,0,Critical Risk
0,1,0,0,7,1,0,1,0,0,2,0,2,0,0,1,2,84.35,609.65,3.0,21.0875,10.54375,590.4499999999999,-19.200000000000045,0,0,1,1,1,1,1,1,0.89745224,0,Critical Risk
0,0,0,0,4,1,2,1,0,2,0,2,0,2,0,1,2,93.5,362.2,5.0,15.583333333333334,18.7,374.0,11.800000000000011,1,0,0,1,1,1,0,1,0.8961821,1,Critical Risk
1,1,1,0,4,0,1,0,0,0,2,0,0,0,0,1,2,29.9,118.25,1.0,14.95,5.9799999999999995,119.6,1.3499999999999943,1,0,0,1,1,1,1,1,0.89594716,0,Critical Risk
1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,2,50.5,50.5,2.0,16.833333333333332,25.25,50.5,0.0,1,0,0,1,1,1,1,1,0.89587694,1,Critical Risk
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,2,96.2,639.7,4.0,19.240000000000002,12.025,673.4,33.69999999999993,0,0,1,1,1,1,1,1,0.89510745,0,Critical Risk
0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,1,2,30.4,78.65,1.0,15.2,10.133333333333333,60.8,-17.85000000000001,1,0,0,1,1,1,1,1,0.892476,1,Critical Risk
0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,2,80.55,184.1,2.0,26.849999999999998,26.849999999999998,161.1,-23.0,1,0,0,1,1,1,1,1,0.8924314,1,Critical Risk
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1.0,35.225,35.225,70.45,0.0,1,0,0,1,0,1,1,0,0.8915023,1,Critical Risk
1,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,2,79.0,143.65,2.0,26.333333333333332,26.333333333333332,158.0,14.349999999999994,1,0,0,1,1,1,1,1,0.8912745,1,Critical Risk
0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,168.2,3.0,22.6,30.133333333333336,180.8,12.600000000000023,1,0,0,1,1,1,1,1,0.891192,1,Critical Risk
0,0,1,0,3,1,2,1,0,0,0,0,2,2,0,0,2,94.9,273.2,4.0,18.98,23.725,284.70000000000005,11.500000000000057,1,0,0,1,1,1,1,1,0.8886822,0,Critical Risk
1,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,1,75.35,75.35,2.0,25.116666666666664,37.675,75.35,0.0,1,0,0,1,0,1,1,0,0.88766706,0,Critical Risk
1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3,50.75,50.75,2.0,16.916666666666668,25.375,50.75,0.0,1,0,0,1,0,1,1,0,0.88693243,0,Critical Risk
1,1,0,0,21,1,2,1,0,2,2,0,2,2,0,1,2,104.35,2271.85,6.0,14.907142857142857,4.743181818181818,2191.35,-80.5,0,0,2,1,1,1,1,1,0.8857626,0,Critical Risk
0,1,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,96.4,1581.2,4.0,19.28,5.670588235294118,1542.4,-38.799999999999955,0,0,2,1,1,1,1,1,0.88573325,1,Critical Risk
1,1,1,0,53,1,2,1,0,2,0,0,2,2,0,1,2,101.9,5549.4,5.0,16.983333333333334,1.887037037037037,5400.700000000001,-148.6999999999989,0,1,4,1,1,1,1,1,0.8853868,1,Critical Risk
1,0,0,0,3,1,0,1,0,0,2,0,0,2,0,0,1,85.7,256.75,3.0,21.425,21.425,257.1,0.35000000000002274,1,0,0,1,0,1,1,0,0.8849414,0,Critical Risk
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,3.0,20.1625,8.961111111111112,645.2,11.900000000000091,0,0,1,1,0,1,1,0,0.8841405,1,Critical Risk
1,0,1,0,6,1,2,1,0,0,0,0,2,0,0,1,2,82.85,460.25,3.0,20.7125,11.835714285714285,497.09999999999997,36.849999999999966,1,0,0,1,1,1,1,1,0.8837906,1,Critical Risk
0,0,0,0,47,1,2,1,0,2,2,0,2,2,0,1,2,106.35,4849.1,6.0,15.192857142857141,2.2156249999999997,4998.45,149.34999999999945,0,0,3,1,1,1,1,1,0.8834393,0,Critical Risk
0,0,0,0,5,1,0,1,0,2,0,0,2,0,0,1,3,85.3,420.45,3.0,21.325,14.216666666666667,426.5,6.050000000000011,1,0,0,1,0,1,1,0,0.8814737,0,Critical Risk
0,0,0,0,6,1,0,1,0,0,2,0,0,2,0,0,2,83.9,497.55,3.0,20.975,11.985714285714286,503.40000000000003,5.850000000000023,1,0,0,1,1,1,1,1,0.88070196,1,Critical Risk
1,0,0,0,13,1,2,1,0,0,0,2,2,2,0,1,3,99.0,1301.7,5.0,16.5,7.071428571428571,1287.0,-14.700000000000045,0,0,2,1,0,1,0,0,0.878917,1,Critical Risk
1,1,1,0,2,1,2,1,0,0,0,0,2,0,0,1,3,86.85,156.35,3.0,21.7125,28.95,173.7,17.349999999999994,1,0,0,1,0,1,1,0,0.87795204,1,Critical Risk
0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,79.6,195.05,2.0,26.53333333333333,26.53333333333333,159.2,-35.85000000000002,1,0,0,1,1,1,1,1,0.877005,1,Critical Risk
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,0.0,24.8,12.4,24.8,0.0,1,0,0,1,1,1,1,1,0.8750442,1,Critical Risk
0,0,1,0,18,1,2,1,0,0,0,2,2,0,0,1,2,88.85,1594.75,4.0,17.77,4.6763157894736835,1599.3,4.5499999999999545,0,0,2,1,1,1,0,1,0.8748184,0,Critical Risk
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.2,45.2,1.0,22.6,22.6,45.2,0.0,1,0,0,1,1,1,1,1,0.87460196,0,Critical Risk
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.8,146.65,1.0,34.9,23.266666666666666,139.6,-7.050000000000011,1,0,0,1,1,1,1,1,0.8744045,0,Critical Risk
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,75.5,220.6,2.0,25.166666666666668,18.875,226.5,5.900000000000006,1,0,0,1,1,1,1,1,0.87349814,1,Critical Risk
1,1,1,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.2,280.35,1.0,35.1,14.040000000000001,280.8,0.44999999999998863,1,0,0,1,1,1,1,1,0.87342876,0,Critical Risk
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,73.5,73.5,2.0,24.5,36.75,73.5,0.0,1,0,0,1,0,1,1,0,0.8724214,1,Critical Risk
1,0,0,0,4,1,2,1,0,0,0,0,0,0,0,1,2,76.05,318.9,2.0,25.349999999999998,15.209999999999999,304.2,-14.699999999999989,1,0,0,1,1,1,1,1,0.86938024,1,Critical Risk
0,1,1,0,17,1,2,1,0,0,0,0,2,2,0,1,2,92.55,1614.7,4.0,18.509999999999998,5.141666666666667,1573.35,-41.350000000000136,0,0,2,1,1,1,1,1,0.86820126,0,Critical Risk
0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,1,3,54.35,117.05,3.0,13.5875,18.116666666666667,108.7,-8.349999999999994,1,0,0,1,0,1,0,0,0.8672501,0,Critical Risk
0,0,0,0,5,1,2,1,0,0,0,0,0,0,0,0,2,75.6,402.5,2.0,25.2,12.6,378.0,-24.5,1,0,0,1,1,1,1,1,0.86621016,0,Critical Risk
0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,1,74.9,147.15,2.0,24.96666666666667,24.96666666666667,149.8,2.6500000000000057,1,0,0,1,0,1,1,0,0.86484677,1,Critical Risk
1,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,2,59.85,59.85,3.0,14.9625,29.925,59.85,0.0,1,0,0,1,1,1,1,1,0.8633152,1,Critical Risk
0,0,0,0,23,1,2,1,0,0,0,0,2,2,0,1,2,93.5,2341.55,4.0,18.7,3.8958333333333335,2150.5,-191.05000000000018,0,0,2,1,1,1,1,1,0.86324114,0,Critical Risk
0,0,0,0,9,1,0,1,0,0,0,0,2,2,0,1,3,88.4,788.6,3.0,22.1,8.84,795.6,7.0,0,0,1,1,0,1,1,0,0.86277324,0,Critical Risk
1,0,1,1,11,1,2,1,0,0,0,0,0,0,0,1,2,74.35,834.2,2.0,24.78333333333333,6.195833333333333,817.8499999999999,-16.350000000000136,0,0,1,1,1,1,1,1,0.86216104,1,Critical Risk
1,0,0,0,6,1,2,1,0,0,0,0,0,0,0,1,2,74.9,469.8,2.0,24.96666666666667,10.700000000000001,449.40000000000003,-20.399999999999977,1,0,0,1,1,1,1,1,0.86123776,1,Critical Risk
1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,3,53.5,53.5,2.0,17.833333333333332,26.75,53.5,0.0,1,0,0,1,0,1,1,0,0.8604538,1,Critical Risk
0,0,1,1,6,1,2,1,0,2,2,0,2,0,0,1,3,94.05,518.75,5.0,15.674999999999999,13.435714285714285,564.3,45.549999999999955,1,0,0,1,0,1,1,0,0.86001897,0,Critical Risk
0,0,1,0,30,1,2,1,0,0,0,0,0,2,0,1,2,85.0,2624.25,3.0,21.25,2.7419354838709675,2550.0,-74.25,0,0,3,1,1,1,1,1,0.85938454,1,Critical Risk
0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.4,55.4,2.0,18.466666666666665,27.7,55.4,0.0,1,0,0,1,1,1,1,1,0.8566427,1,Critical Risk
0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,3,50.45,50.45,2.0,16.816666666666666,25.225,50.45,0.0,1,0,0,1,0,1,1,0,0.8564578,1,Critical Risk
1,0,1,0,4,1,0,1,0,0,0,0,2,0,0,1,2,80.35,307.4,2.0,26.78333333333333,16.07,321.4,14.0,1,0,0,1,1,1,1,1,0.85585415,1,Critical Risk
